Date,Open,High,Low,Close,Volume
07-03-2011,18361.65039,18583.30078,18058.71094,18174.08984,90800
14-03-2011,18167.09961,18463.83984,17849.5293,17878.81055,88600
21-03-2011,17984.7207,18858.30078,17792.16992,18815.64063,64000
28-03-2011,18799.71094,19575.16016,18799.57031,19420.39063,70800
04-04-2011,19473.92969,19811.14063,19388.41992,19451.44922,57600
11-04-2011,19382.91016,19737.33008,19101.63086,19386.82031,44200
18-04-2011,19389.74023,19695.98047,18976.18945,19602.23047,55800
25-04-2011,19538.51953,19697.49023,19015.05078,19135.96094,61000
02-05-2011,19224.05078,19253.86914,18160.65039,18518.81055,80800
09-05-2011,18628.63086,18724.53906,18280.69922,18531.2793,55200
16-05-2011,18492.67969,18492.67969,18020.78906,18326.08984,66400
23-05-2011,18269.06055,18298.64063,17786.13086,18266.09961,58600
30-05-2011,18319.74023,18672.65039,18199.51953,18376.48047,68600
06-06-2011,18344.26953,18545.94922,18182.90039,18268.53906,49200
13-06-2011,18242.25,18380.18945,17844.08984,17870.5293,68200
20-06-2011,17925.16992,18268.94922,17314.38086,18240.67969,60000
27-06-2011,18132.69922,19031.38086,18132.69922,18762.80078,64000
04-07-2011,18896.24023,19131.69922,18682.59961,18858.03906,56400
11-07-2011,18823.18945,18936.42969,18326.41992,18561.91992,48200
18-07-2011,18592.18945,18765.59961,18415.35938,18722.30078,50000
25-07-2011,18753.34961,18944.59961,18131.85938,18197.19922,81000
01-08-2011,18352.23047,18440.07031,16990.91016,17305.86914,65400
08-08-2011,16907.57031,17256.46094,16432,16839.63086,82200
15-08-2011,17015.99023,17035.49023,15987.76953,16141.66992,58600
22-08-2011,16155.99023,16549.21094,15765.53027,15848.83008,63000
29-08-2011,16080.74023,16989.85938,16068.73047,16821.46094,39200
05-09-2011,16678.33984,17211.80078,16488.30078,16866.9707,68200
12-09-2011,16668.25,17122.53906,16374.67969,16933.83008,79800
19-09-2011,16865.92969,17191.11914,16052.46973,16162.05957,79600
26-09-2011,16209.19043,16756.08008,15801.00977,16453.75977,93800
03-10-2011,16255.96973,16347.48047,15745.42969,16232.54004,72200
10-10-2011,16270.07031,17112.44922,16230.76953,17082.68945,91800
17-10-2011,17176.05078,17188.55078,16669.03906,16785.64063,69600
24-10-2011,17011.06055,17908.13086,16898.59961,17804.80078,58800
31-10-2011,17806.21094,17813.10938,17278.0293,17562.60938,84200
07-11-2011,17593.66992,17658.33984,17096.83984,17192.82031,44200
14-11-2011,17348.51953,17391.99023,16164.99023,16371.50977,91200
21-11-2011,16297.03027,16297.03027,15478.69043,15695.42969,96000
28-11-2011,15890.79981,16888.83984,15849.57031,16846.83008,100200
05-12-2011,16812.30078,17003.71094,16142.32031,16213.45996,61800
12-12-2011,16354.95996,16360.32031,15425.2002,15491.34961,104000
19-12-2011,15440.09961,15911.23047,15135.86035,15738.7002,96600
26-12-2011,15782.16992,16049.12012,15406.92969,15454.91992,60000
02-01-2012,15534.66992,16004.69043,15358.01953,15867.73047,86600
09-01-2012,15840.21973,16257.33984,15678.29981,16154.62012,83400
16-01-2012,16086.74023,16788.48047,16037.59961,16739.00977,83200
23-01-2012,16667.01953,17258.9707,16659.32031,17233.98047,64400
30-01-2012,17138.03906,17630.5293,16828.33008,17604.96094,124000
06-02-2012,17741.91016,17890.10938,17579.58984,17748.68945,96200
13-02-2012,17761.69922,18423.06055,17665.89063,18289.34961,107600
20-02-2012,18303.73047,18523.7793,17848.92969,17923.57031,81400
27-02-2012,17975.18945,18001.34961,17381.64063,17636.80078,91000
05-03-2012,17598.41992,17691.96094,17008.76953,17503.24023,63800
12-03-2012,17772.09961,18040.68945,17426.58008,17466.19922,77800
19-03-2012,17531.4707,17687.00977,17136.5,17361.74023,72400
26-03-2012,17377.58984,17439.50977,16920.60938,17404.19922,85400
02-04-2012,17429.96094,17664.09961,17382.38086,17486.01953,30600
09-04-2012,17407.66016,17486.01953,17027.30078,17094.50977,60200
16-04-2012,17047.86914,17530.30078,17010.16016,17373.83984,55000
23-04-2012,17347.75977,17444.17969,17019.24023,17134.25,58600
30-04-2012,17195.50977,17432.33008,16776.7207,16831.08008,37400
